i_supply,i_demand,p_supply,p_demand
200.1,10.01,203.5,11.59
199.5,10.07,204.9,10.96
199.4,10.32,207.1,11.4
198.9,9.75,210.5,10.74
199,10.33,210.5,10.56
200.2,10.13,209.8,10.48
198.6,10.36,208.8,10.77
200,10.32,209.5,11.33
200.3,10.13,213.2,10.96
201.2,10.16,213.7,11.16
201.6,10.58,215.1,11.7
201.5,10.62,218.7,11.23
201.5,10.86,219.8,11.39
203.5,11.2,220.5,10.01
204.9,10.74,223.8,10.93
207.1,10.56,222.8,10.99
210.5,10.48,223.8,11.94
210.5,10.77,221.7,10.07
209.8,11.33,222.3,10.32
208.8,10.96,220.8,9.75
209.5,11.16,261.1,10.33
213.2,11.7,262.9,10.13
213.7,11.39,263.3,10.36
215.1,11.42,262.8,10.32
218.7,11.94,261.8,10.13
219.8,11.24,262.2,10.16
220.5,11.59,262.7,10.58
223.8,10.96,200.1,10.62
222.8,11.4,199.5,10.86
223.8,11.02,199.4,11.2
221.7,11.01,198.9,13.27
222.3,11.23,199,13.64
220.8,11.33,200.2,11.42
219.4,10.83,198.6,11.14
220.1,10.84,200,11.33
220.6,11.14,200.3,10.83
218.9,10.38,201.2,10.84
217.8,10.9,201.6,11.91
217.7,11.05,257.2,11.24
215,11.11,257.5,13.58
215.3,11.01,256.8,13.87
215.9,11.22,257.5,13.53
216.7,11.21,257,13.41
216.7,11.91,257.6,10.38
217.7,11.69,257.3,10.53
218.7,10.93,257.5,11.07
222.9,10.99,259.6,13.7
224.9,11.01,201.5,10.5
222.2,10.84,201.5,10.44
220.7,10.76,253.7,10.5
220,10.77,255,10.75
218.7,10.88,256.2,10.4
217,10.49,256,10.4
215.9,10.5,257.4,10.34
215.8,11,260.4,10.61
214.1,10.98,260,10.48
212.3,10.61,261.3,11
213.9,10.48,260.4,11.01
214.6,10.53,261.6,10.84
213.6,11.07,260.8,10.76
212.1,10.61,259.8,10.77
211.4,10.86,259,10.88
213.1,10.34,258.9,10.49
212.9,10.78,257.4,13.34
213.3,10.8,257.7,13.14
211.5,10.33,257.9,10.91
212.3,10.44,257.4,10.46
213,10.5,257.3,10.33
211,10.75,222.2,10.55
210.7,10.4,226.7,12.41
210.1,10.4,228.4,12.43
211.4,10.34,233.2,12.73
210,10.55,235.7,13.01
209.7,10.46,237.1,10.61
208.8,10.82,240.6,10.86
208.8,10.91,243.8,10.34
208.8,10.87,245.3,10.78
210.6,10.67,246,10.8
211.9,11.11,246.3,10.55
212.8,10.88,247.7,10.46
212.5,11.28,257.6,10.82
214.8,11.27,258.9,11.02
215.3,11.44,257.8,12.1
217.5,11.52,257.7,12.92
218.8,12.1,212.9,12.64
220.7,11.83,213.3,12.79
222.2,12.62,211.5,13.05
226.7,12.41,212.3,12.69
228.4,12.43,213,12.74
233.2,12.73,211,12.73
235.7,13.01,210.7,12.76
237.1,12.74,210.1,11.83
240.6,12.73,211.4,11.28
243.8,12.76,210,11.27
245.3,12.92,209.7,11.44
246,12.64,208.8,11.52
246.3,12.79,208.8,13.01
247.7,13.05,208.8,12.9
247.6,12.69,247.8,12.62
247.8,13.01,249.4,13.49
249.4,12.9,249,13.87
249,13.12,249.9,13.39
249.9,12.47,250.5,13.59
250.5,12.47,251.5,12.47
251.5,12.94,249,12.94
249,13.1,247.6,13.12
247.6,12.91,248.8,12.47
248.8,13.39,250.4,13.15
250.4,13.13,250.7,13.3
250.7,13.34,253,12.94
253,13.34,247.6,13.29
253.7,13.14,210.6,13.1
255,13.49,211.9,11.11
256.2,13.87,212.8,13.1
256,13.39,212.5,12.91
257.4,13.59,214.8,13.39
260.4,13.27,215.3,13.13
260,13.7,217.5,13.34
261.3,13.2,218.8,13.2
260.4,13.32,220.7,13.27
261.6,13.15,222.2,13.11
260.8,13.3,220.7,13.3
259.8,12.94,220,13.25
259,13.29,218.7,13.12
258.9,13.26,217,13.26
257.4,13.08,215.9,13.32
257.7,13.24,215.8,13.25
257.9,13.31,214.1,13.5
257.4,13.52,212.3,13.32
257.3,13.02,213.9,13.06
257.6,13.25,218.7,13.08
258.9,13.12,222.9,13.24
257.8,13.26,224.9,13.51
257.7,13.11,217.8,13.77
257.2,13.3,214.6,13.4
257.5,13.06,213.6,10.67
256.8,13.32,212.1,13.26
257.5,13.1,211.4,13.58
257,13.27,213.1,10.87
257.6,13.64,217.7,13.31
257.3,13.58,215,13.52
257.5,13.87,215.3,13.02
259.6,13.53,215.9,10.9
261.1,13.41,216.7,11.05
262.9,13.25,216.7,11.11
263.3,13.5,217.7,11.01
262.8,13.58,220.6,11.22
261.8,13.51,218.9,11.21
262.2,13.77,219.4,11.69
262.7,13.4,220.1,10.98
